step,loss,fit,kl,normW,logdetV,sigma2,rhoW,val_bound
137,-1357.2941306474193,-1363.2198414303314,5.697737762092231,0.5215133580752345,-19.619811899540146,0.11154747428580208,0.08772172470098534,nan
138,-1357.720059116613,-1363.777875964498,5.829407870139139,0.5216326454360546,-19.655362300079382,0.11144183419390362,0.0879345285500281,nan
139,-1358.4144306174715,-1364.4039096255092,5.76063347926393,0.5217721746872077,-19.690921833224586,0.11133628805039958,0.08813706420900005,nan
140,-1358.9140574012356,-1364.9655971599313,5.822254698946994,0.5220477052209905,-19.726487929359102,0.11123083633550135,0.08830814277060806,nan
141,-1359.540338703688,-1365.5990278351583,5.828962644306532,0.5224049270055953,-19.762064449562352,0.11112547846655912,0.08868904558995537,nan
142,-1360.2978701924426,-1366.2205251817247,5.692487662084565,0.5227375761659955,-19.79762967201465,0.11102021457046746,0.08904644935415965,nan
143,-1360.7306346112116,-1366.772687335693,5.811447612499019,0.5229175159735127,-19.833201126350794,0.11091504545914718,0.0894747909160007,nan
144,-1361.2845551477144,-1367.3443004462497,5.828704217249621,0.5230042530781857,-19.86877868309958,0.11080997016345247,0.08994449472178896,nan
145,-1362.091255980613,-1368.017715218836,5.694981206778406,0.5231258795431529,-19.904371967355107,0.11070498847318645,0.09032585245832811,nan
146,-1362.7210709990873,-1368.6262750877138,5.673287586748032,0.5233198319950005,-19.939960942668506,0.11060010125524865,0.090664739563716,nan
147,-1363.1781463682153,-1369.164273226138,5.753768792846441,0.5236629516975231,-19.975542463117268,0.11049530843790491,0.09102898004410008,nan
148,-1363.6585629359847,-1369.7598859146901,5.8685197527146205,0.524159959671492,-20.011149293195288,0.1103906097486131,0.09133053430710215,nan
149,-1364.4053781483822,-1370.3939244596527,5.755298199951964,0.5246377922453466,-20.046760963545925,0.11028600450100925,0.09153762395943636,nan
150,-1364.8155893096389,-1370.9210299343915,5.871745782352262,0.5252040268739864,-20.08236624470794,0.11018149304357357,0.09165579815433708,nan
151,-1365.6446355352552,-1371.622238739672,5.743456446229306,0.5260003407876502,-20.117994009460293,0.1100770748525451,0.0917997054563369,nan
152,-1366.1498579434576,-1372.1878193738623,5.803367162320486,0.5265926628563358,-20.153606148882297,0.1099727507867684,0.09209851253492034,nan
153,-1366.720173226929,-1372.765551867183,5.810336009097897,0.5272256423970223,-20.189212125948956,0.10986852040771634,0.09239040386808753,nan
154,-1367.1497915011328,-1373.3068048895066,5.921529373456706,0.5275221284053081,-20.22482222889432,0.10976438349958029,0.09244162334079117,nan
155,-1367.958294781639,-1373.986716521997,5.792494403563736,0.5278982375753892,-20.260448432503726,0.10966033928351374,0.09246463415262074,nan
156,-1368.6229678587,-1374.6022326566433,5.742893548407023,0.5283079807930566,-20.296059744954412,0.10955638859609311,0.09257836140523876,nan
157,-1369.13715087972,-1375.1873869336468,5.81341936435183,0.5287879248346751,-20.33166938792784,0.10945253174349663,0.0928033243549802,nan
158,-1369.7358652835687,-1375.7539438236242,5.78082100915913,0.5290555555170259,-20.367265123574306,0.10934876830623791,0.09297370684588503,nan
159,-1370.3933443234014,-1376.3776408901754,5.746593679596187,0.5295302093007793,-20.40286676107568,0.10924509808471163,0.09307590740182967,nan
160,-1371.0324443004088,-1376.9944999304555,5.723913808616177,0.5297020068022811,-20.43846284907614,0.10914152122854952,0.09297925224627188,nan
161,-1371.5589700651428,-1377.5608964478283,5.763347067943615,0.529804034719549,-20.474057396330196,0.10903803805987834,0.09272318351763985,nan
162,-1372.2904818504967,-1378.2069904691612,5.6774904562732775,0.5299629400140207,-20.509659553192257,0.10893464820868065,0.09249388133637863,nan
163,-1372.6271704183428,-1378.712156579571,5.845526978512421,0.5302262070018127,-20.54525381907677,0.10883135200752785,0.09213467933565875,nan
164,-1373.2814164526985,-1379.328647702277,5.807329305556947,0.5305545114275038,-20.580872870565607,0.10872814830703666,0.09180305661510878,nan
165,-1373.9280796618423,-1379.989702986531,5.821277940591532,0.5309048355275293,-20.61650435851783,0.10862503737782703,0.09137153164785448,nan
166,-1374.5751468132437,-1380.5686479605297,5.752717260810493,0.5310360449061637,-20.652107915416284,0.10852201927762925,0.09073068833039952,nan
167,-1375.2164740028056,-1381.1940034084366,5.736307807179507,0.5311282599316219,-20.687710096096808,0.10841909417323681,0.08984256112239099,nan
168,-1375.7784873571952,-1381.782385648083,5.762239237347114,0.5312134549799706,-20.723299036356572,0.10831626205597013,0.0893577233066738,nan
169,-1376.3019244956545,-1382.3580816662316,5.814062898977168,0.5311945439358468,-20.7588815349069,0.1082135228781716,0.08914902393104356,nan
170,-1377.0736623393016,-1383.0060099294049,5.6898151994756745,0.531311535110254,-20.794460725379018,0.10811087621373648,0.08911641999081794,nan
171,-1377.4948526241492,-1383.5284428378882,5.790619730653523,0.5314334457061444,-20.83002480442193,0.10800832257307343,0.08910757139125201,nan
172,-1378.0492127355442,-1384.1078109220407,5.815186661180348,0.5316804058921957,-20.865608226206756,0.107905861341378,0.08924378808897102,nan
173,-1378.7629548570358,-1384.7533083975668,5.746496562343311,0.5321175127916278,-20.901216850874796,0.10780349237678784,0.08906731430790242,nan
174,-1379.3770596170177,-1385.3777691472046,5.756409598965481,0.5324294021867088,-20.936834188428065,0.1077012160876494,0.0888043335213108,nan
175,-1380.0533775580957,-1386.0060571517324,5.7079397125767155,0.5326069881392594,-20.972435349990295,0.10759903226335155,0.08882010822718296,nan
176,-1380.6073290663912,-1386.565781378652,5.713277512539159,0.5325602357480045,-21.008011625362464,0.10749694113771549,0.08878063582045978,nan
177,-1380.9936198657417,-1387.127998184986,5.888769183401276,0.5324814594056636,-21.043591758893037,0.10739494251275705,0.08905440782326848,nan
178,-1381.6787267988068,-1387.7357292154907,5.8109585999521665,0.5324166504185565,-21.079171488480615,0.10729303558638068,0.08943422379117956,nan
179,-1382.1018597480543,-1388.2903406749695,5.942000555388113,0.5324329987630159,-21.114758855001313,0.10719122073534432,0.08983403776044742,nan
180,-1382.8395274887753,-1388.9300404157734,5.843592977202265,0.5325793423730203,-21.150362766709133,0.10708949723386707,0.09028486373046851,nan
181,-1383.3835352049666,-1389.514156069526,5.883258605172463,0.5328548178465565,-21.185960720382887,0.1069878654998142,0.09074425985160757,nan
182,-1383.9919948655574,-1390.1041547666762,5.864356873448543,0.5330531525847224,-21.221562692787515,0.10688632544976545,0.09107065382235051,nan
183,-1384.7016435252042,-1390.7363556950354,5.786465857041583,0.5333582853011755,-21.257179824090755,0.10678487708963198,0.0911748186134366,nan
184,-1385.3856872975693,-1391.3584818824415,5.72410115120416,0.5338430699394656,-21.292792509435145,0.10668352057797285,0.09126184879141175,nan
185,-1385.8990660462432,-1391.9131151086317,5.76491038356451,0.5342408949500347,-21.328398881208788,0.10658225616848747,0.09112797658071466,nan
186,-1386.6352796870995,-1392.5826222071605,5.697756752499551,0.5347138636193773,-21.36401989151774,0.10648108353653502,0.09075817523078435,nan
187,-1386.98832594116,-1393.103228292981,5.86486919560037,0.5352033585599503,-21.399631673136035,0.10638000324600305,0.09047303984586817,nan
188,-1387.7940849705187,-1393.7936546107935,5.749086846033688,0.5357893356238751,-21.435253397068564,0.10627901419954337,0.0900799809332546,nan
189,-1388.3354335475362,-1394.3384278786561,5.752065843620191,0.5362061159118339,-21.470844239495406,0.1061781172243743,0.08959086573426252,nan
190,-1388.9069094390484,-1394.9441155147724,5.785826150381469,0.5368846750297454,-21.506440576797292,0.10607731187319967,0.08933110395154488,nan
